,assistments_skill,sl_skill
0,Absolute Value,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.27691376209259033}]"
1,Addition Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.22296518087387085}]"
2,Addition Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2075415700674057}]"
3,Addition Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23228958249092102}]"
4,Addition and Subtraction Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23969268798828125}]"
5,Addition and Subtraction Integers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23668542504310608}]"
6,Addition and Subtraction Positive Decimals,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23197147250175476}]"
7,Algebraic Simplification,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.23089981079101562}]"
8,Algebraic Solving,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2950732707977295}]"
9,"Angles - Obtuse, Acute, and Right","[{'skill': 'Bias', 'cosine_score': 0.20777751505374908}]"
10,Angles on Parallel Lines Cut by a Transversal,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.2685581147670746}]"
11,Area Circle,"[{'skill': 'Reinforcement Learning Overview', 'cosine_score': 0.16055579483509064}]"
12,Area Irregular Figure,"[{'skill': 'Variance', 'cosine_score': 0.1626526266336441}]"
13,Area Parallelogram,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.19191089272499084}]"
14,Area Rectangle,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.18976706266403198}]"
15,Area Trapezoid,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.15596187114715576}]"
16,Area Triangle,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.16084152460098267}]"
17,Associative Property,"[{'skill': 'Interaction Terms', 'cosine_score': 0.28442734479904175}]"
18,Bar Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2117544710636139}]"
19,Box and Whisker,"[{'skill': 'Reinforcement Learning Overview', 'cosine_score': 0.13493578135967255}]"
20,Calculation with + - * /,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.20457732677459717}]"
21,Calculations with Similar Figures,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.23569945991039276}]"
22,Choose an Equation from Given Information,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3274315893650055}, {'skill': 'Handling Missing Data', 'cosine_score': 0.21590906381607056}]"
23,Circle Concept,"[{'skill': 'Feedback Loops and Societal Biases', 'cosine_score': 0.22338387370109558}]"
24,Circle Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.1960701048374176}]"
25,Circumference,"[{'skill': 'Variance', 'cosine_score': 0.1948840618133545}]"
26,Circumference ,"[{'skill': 'Variance', 'cosine_score': 0.1948840618133545}]"
27,Co-ordinate Points,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.27504685521125793}]"
28,Combinatorics,"[{'skill': 'K-Fold Cross Validation', 'cosine_score': 0.23922312259674072}]"
29,Combining Like Terms,"[{'skill': 'Interaction Terms', 'cosine_score': 0.40436816215515137}]"
30,Common Factor,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.2924819588661194}]"
31,Common Multiple,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.2684236764907837}]"
32,Commutative Property,"[{'skill': 'Why Data is Important', 'cosine_score': 0.1557653248310089}]"
33,Comparing and Identifying Slope/Rate of Change,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2814367711544037}, {'skill': 'Comparison: Linear Regression vs KNN', 'cosine_score': 0.2583456039428711}]"
34,Complementary and Supplementary Angles,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.2767561078071594}]"
35,Composition of Function Adding,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.22415894269943237}]"
36,Computation with Real Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.3618321418762207}]"
37,Concept Volume,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.28953009843826294}]"
38,Congruence,"[{'skill': 'Variance', 'cosine_score': 0.22073815762996674}]"
39,Conversion of Fraction Decimals Percents,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.13356488943099976}]"
40,Counting Methods,"[{'skill': 'Bootstrap Methods', 'cosine_score': 0.32038211822509766}]"
41,D.4.8-understanding-concept-of-probabilities,"[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.46563541889190674}]"
42,Definition Pi,"[{'skill': 'Interaction Terms', 'cosine_score': 0.15509682893753052}]"
43,Distance Formula,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2322014719247818}]"
44,Distributive Property,"[{'skill': 'Variance', 'cosine_score': 0.2075444459915161}]"
45,Divisibility Rules,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.20091213285923004}]"
46,Division Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25626546144485474}]"
47,Division Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25363996624946594}]"
48,Division Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2365214079618454}]"
49,Division Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.27399441599845886}]"
50,Effect of Changing Dimensions of a Shape Prportionally,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.38888928294181824}]"
51,Elapsed Time,"[{'skill': 'EM Algorithm Overview', 'cosine_score': 0.20704427361488342}]"
52,English and Metric Terminology,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.26279574632644653}]"
53,Equal As Balance Concept,"[{'skill': 'Fairness in ML', 'cosine_score': 0.3809238374233246}]"
54,Equation Solving More Than Two Steps,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.24573686718940735}]"
55,Equation Solving Two or Fewer Steps,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.23721399903297424}]"
56,Equivalent Fractions,"[{'skill': 'Fairness in ML', 'cosine_score': 0.21626466512680054}]"
57,Estimation,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.6153115630149841}, {'skill': 'Noise and Irreducible Error', 'cosine_score': 0.22204720973968506}, {'skill': 'Local Likelihood Estimation', 'cosine_score': 0.514072060585022}, {'skill': 'Bayesian Model Averaging', 'cosine_score': 0.4013647139072418}, {'skill': 'Heteroscedasticity and Residual Analysis', 'cosine_score': 0.24372518062591553}, {'skill': 'Bias-Variance Decomposition', 'cosine_score': 0.325945645570755}, {'skill': 'Maximum Likelihood Estimation', 'cosine_score': 0.6056185960769653}]"
58,"Expanded, Standard and Word Notation","[{'skill': 'Basis Expansions', 'cosine_score': 0.35690587759017944}]"
59,Exponents,"[{'skill': 'Basis Expansions', 'cosine_score': 0.20609337091445923}]"
60,Factoring Polynomials Standard,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.40882736444473267}]"
61,Factoring Trinomials,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2656421661376953}]"
62,Finding Percents,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2737811207771301}]"
63,Finding Ratios,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.21066419780254364}]"
64,Finding Slope From Equation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.42043930292129517}]"
65,Finding Slope From Situation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.432959645986557}]"
66,Finding Slope from Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.42674246430397034}]"
67,Finding Slope from Ordered Pairs,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3699301481246948}]"
68,Finding y-intercept from Linear Equation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.5019145607948303}]"
69,Fraction Of,"[{'skill': 'Fairness in ML', 'cosine_score': 0.21630552411079407}]"
70,Geometric Definitions,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.28993698954582214}]"
71,Graph Shape,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.254407674074173}]"
72,Graphing Inequalities on a number line,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.27304282784461975}]"
73,Graphing Linear Equations,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.445750892162323}]"
74,Greatest Common Factor,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.26226240396499634}]"
75,Histogram as Table or Graph,"[{'skill': 'Why Data is Important', 'cosine_score': 0.2739986777305603}]"
76,Interior Angles Figures with More than 3 Sides,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.1293160766363144}]"
77,Interior Angles Triangle,"[{'skill': 'Bias', 'cosine_score': 0.16960713267326355}]"
78,Interpreting Coordinate Graphs ,"[{'skill': 'Local Linear Regression', 'cosine_score': 0.2566657066345215}]"
79,Inverse Relations,"[{'skill': 'Interaction Terms', 'cosine_score': 0.32947710156440735}, {'skill': 'Predictor and Response Variables', 'cosine_score': 0.3064691126346588}]"
80,Least Common Multiple,"[{'skill': 'K-Fold Cross Validation', 'cosine_score': 0.2192504107952118}]"
81,Line Plot,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3671647906303406}]"
82,Line Symmetry,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.38133084774017334}]"
83,Line of Best-Fit,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.38823091983795166}, {'skill': 'Overfitting vs Underfitting', 'cosine_score': 0.2819466292858124}]"
84,Making a Table from an Equation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3643006682395935}]"
85,Mean,"[{'skill': 'Variance', 'cosine_score': 0.365342915058136}]"
86,Mean-Median-Mode-Range Differentiation,"[{'skill': 'Kernel Smoothing Methods', 'cosine_score': 0.41072162985801697}]"
87,Median,"[{'skill': 'Fairness in ML', 'cosine_score': 0.29806190729141235}]"
88,Midpoint,"[{'skill': 'LOOCV', 'cosine_score': 0.26393333077430725}]"
89,Mode,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.2459283471107483}]"
90,Multiplication Division by Powers of 10,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.19063004851341248}]"
91,Multiplication Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2270684391260147}]"
92,Multiplication Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25884556770324707}]"
93,Multiplication Positive Decimals,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.21301205456256866}]"
94,Multiplication Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2141820788383484}]"
95,Multiplication Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23868519067764282}]"
96,Multiplication and Division Integers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.20278522372245789}]"
97,Multiplication and Division Positive Decimals,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2190483957529068}]"
98,Multiplying non Monomial Polynomials,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.43938207626342773}]"
99,Nets of 3D Figures,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.2920120656490326}]"
100,Nets of 3D Objects,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.2857247292995453}]"
101,Number Line,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.20815375447273254}]"
102,Odd and Even Number,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.19827565550804138}]"
103,"Order of Operations +,-,/,* () positive reals","[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2216244637966156}]"
104,Order of Operations All,"[{'skill': 'Interaction Terms', 'cosine_score': 0.18257218599319458}]"
105,Ordering Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.20390847325325012}]"
106,Ordering Integers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.16457995772361755}]"
107,Ordering Positive Decimals,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.1576286256313324}]"
108,Ordering Real Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.1646462082862854}]"
109,Ordering Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.1946522742509842}]"
110,Parallel and Perpendicular Lines,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.32860106229782104}]"
111,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable","[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.39883363246917725}]"
112,Pattern Finding,"[{'skill': 'Basis Expansions', 'cosine_score': 0.2828776240348816}]"
113,Pattern Finding ,"[{'skill': 'Basis Expansions', 'cosine_score': 0.2828776240348816}]"
114,Percent Discount,"[{'skill': 'Fairness in ML', 'cosine_score': 0.27410924434661865}]"
115,Percent Increase or Decrease,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.17805591225624084}]"
116,Percent Of,"[{'skill': 'Bias', 'cosine_score': 0.2294040322303772}]"
117,Percents,"[{'skill': 'Bias', 'cosine_score': 0.25274407863616943}]"
118,Perimeter of a Polygon,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.1762354075908661}]"
119,Perimeter of an Irregular Figure,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.13237372040748596}]"
120,Picking Equation and Inequality from Choices,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2803877294063568}]"
121,Picking Expressions From Choices,"[{'skill': 'Interaction Terms', 'cosine_score': 0.27239271998405457}]"
122,Point Plotting,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.31190741062164307}]"
123,Polynomial Factors,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.42163923382759094}]"
124,Prime Factor,"[{'skill': 'Reducible vs Irreducible Error', 'cosine_score': 0.20488162338733673}]"
125,Prime Number,"[{'skill': 'Prior, Posterior and Predictive Distribution', 'cosine_score': 0.11684522032737732}]"
126,Probability of Two Distinct Events,"[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.24862165749073029}]"
127,Probability of a Single Event,"[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.3233555853366852}]"
128,Properties and Clasification of Pyramid,"[{'skill': 'Ridge Regression and Lasso', 'cosine_score': 0.15818113088607788}]"
129,Properties and Classification Circle,"[{'skill': 'Regression vs Classification', 'cosine_score': 0.38478562235832214}]"
130,Properties and Classification Polygons with 5 or more sides,"[{'skill': 'K-Fold Cross Validation', 'cosine_score': 0.2421329766511917}]"
131,Properties and Classification Prism,"[{'skill': 'Regression vs Classification', 'cosine_score': 0.43690961599349976}, {'skill': 'Validation Set Approach', 'cosine_score': 0.26667991280555725}, {'skill': 'Statistical Learning vs Machine Learning', 'cosine_score': 0.35831353068351746}, {'skill': 'Unsupervised and Semi-Supervised Learning', 'cosine_score': 0.39916864037513733}]"
132,Properties and Classification Quadrilaterals,"[{'skill': 'Regression vs Classification', 'cosine_score': 0.25132012367248535}]"
133,Properties and Classification Rectangular Prisms,"[{'skill': 'Regression vs Classification', 'cosine_score': 0.27267420291900635}]"
134,Properties and Classification Triangles,"[{'skill': 'Regression vs Classification', 'cosine_score': 0.3375778794288635}]"
135,Properties of Numbers,"[{'skill': 'Why Data is Important', 'cosine_score': 0.24874462187290192}]"
136,Proportion,"[{'skill': 'Bias', 'cosine_score': 0.2940993010997772}]"
137,Pythagorean Theorem,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.19836823642253876}]"
138,Quadratic Equation Solving,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.25851553678512573}]"
139,Quadratic Formula to Solve Quadratic Equation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2809791564941406}]"
140,Range,"[{'skill': 'Variance', 'cosine_score': 0.30104684829711914}]"
141,Rate,"[{'skill': 'Bandwidth and Kernel Choice', 'cosine_score': 0.2757655680179596}]"
142,Reading a Ruler or Scale,"[{'skill': 'Accuracy vs Interpretability', 'cosine_score': 0.25685569643974304}]"
143,Recognize Linear Pattern,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3964938521385193}]"
144,Recognize Quadratic Pattern,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.30071836709976196}]"
145,Recognizing Equivalent Expressions,"[{'skill': 'Interaction Terms', 'cosine_score': 0.2696869671344757}]"
146,Recognizing Expressions or Equations from Diagrams,"[{'skill': 'Interaction Terms', 'cosine_score': 0.34649136662483215}]"
147,Reflection,"[{'skill': 'Interaction Terms', 'cosine_score': 0.2845934331417084}]"
148,Rotational Symmetry,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.1840357780456543}]"
149,Rotations,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.20286212861537933}]"
150,Rounding,"[{'skill': 'Fairness in ML', 'cosine_score': 0.2946152091026306}]"
151,Sampling Techniques,"[{'skill': 'Bootstrap Methods', 'cosine_score': 0.3403436839580536}, {'skill': 'Bagging and Model Averaging', 'cosine_score': 0.3245930075645447}]"
152,Scale Factor,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2193378359079361}]"
153,Scatter Plot,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2958461344242096}]"
154,Scientific Notation,"[{'skill': 'Interaction Terms', 'cosine_score': 0.21083387732505798}]"
155,Similar Figures,"[{'skill': 'EM Algorithm Overview', 'cosine_score': 0.16493239998817444}]"
156,Simplifying Expressions positive exponents,"[{'skill': 'Basis Expansions', 'cosine_score': 0.1186685785651207}]"
157,Solve Quadratic Equations Using Factoring,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2271961122751236}]"
158,Solving Inequalities,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.29182276129722595}]"
159,Solving System of Equation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2372959554195404}]"
160,Solving Systems of Linear Equations,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.3799707591533661}]"
161,Solving Systems of Linear Equations by Graphing,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.35026347637176514}]"
162,Solving for a variable,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2915247976779938}]"
163,Square Root,"[{'skill': 'Variance', 'cosine_score': 0.29623472690582275}]"
164,Square Roots,"[{'skill': 'Variance', 'cosine_score': 0.30735644698143005}]"
165,Stem and Leaf Plot,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.17332608997821808}]"
166,Substitution,"[{'skill': 'Variance', 'cosine_score': 0.24116474390029907}]"
167,Subtraction Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25438809394836426}]"
168,Subtraction Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.251684308052063}]"
169,Subtraction Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.26012754440307617}]"
170,Surface Area Cylinder,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.1603747010231018}]"
171,Surface Area Pyramid,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.17210105061531067}]"
172,Surface Area Rectangular Prism,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.14444974064826965}]"
173,Surface Area Sphere,"[{'skill': 'Multidimensional Kernel Smoothing', 'cosine_score': 0.157232865691185}]"
174,Surface Area of 3D Objects,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.1812468022108078}]"
175,Surface Area of Prism,"[{'skill': 'Variance', 'cosine_score': 0.14889264106750488}]"
176,Symbolization,"[{'skill': 'Interaction Terms', 'cosine_score': 0.2394569218158722}]"
177,Table,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2606993019580841}, {'skill': 'Training vs Test Error', 'cosine_score': 0.17789028584957123}]"
178,Transformation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2689497470855713}]"
179,Translations,"[{'skill': 'LOOCV', 'cosine_score': 0.23062267899513245}]"
180,"Tree Diagrams, Lists for Counting","[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.19421324133872986}]"
181,Unit Conversion Standard to Metric,"[{'skill': 'Fairness in ML', 'cosine_score': 0.20873335003852844}]"
182,Unit Conversion Within a System,"[{'skill': 'Basis Expansions', 'cosine_score': 0.1459771990776062}]"
183,Unit Rate,"[{'skill': 'Bandwidth and Kernel Choice', 'cosine_score': 0.2717438340187073}]"
184,Venn Diagram,"[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.263775497674942}]"
185,Volume Cone,"[{'skill': 'LOOCV', 'cosine_score': 0.19949990510940552}]"
186,Volume Cylinder,"[{'skill': 'Variance', 'cosine_score': 0.20842622220516205}]"
187,Volume Prism,"[{'skill': 'Variance', 'cosine_score': 0.16263629496097565}]"
188,Volume Pyramid,"[{'skill': 'LOOCV', 'cosine_score': 0.16348688304424286}]"
189,Volume Rectangular Prism,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.14710059762001038}]"
190,Volume Sphere,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.22163665294647217}]"
191,Volume of 3D Objects,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.22707530856132507}]"
192,Write Linear Equation from Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.4701072573661804}]"
193,Write Linear Equation from Ordered Pairs,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3976660668849945}]"
194,Write Linear Equation from Situation,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.4870101511478424}]"
195,Write Linear Equation from Slope and y-intercept,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.5356221199035645}]"
196,Writine Expression from Diagrams,"[{'skill': 'Interaction Terms', 'cosine_score': 0.23824292421340942}]"
197,X-Y Graph Reading,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2690187096595764}]"
